,idea,TP,scientists_invested,times_invested,avg_k,total_effort (marginal),prop_invested,total_pr,total_ar
0,0,0,23.0,65.0,14.86,600.2872193747944,1.0004786989579906,9572.01,9555.47
1,1,1,29.0,62.0,10.24,601.3443213218718,1.002240535536453,9398.12,9382.89
2,2,2,21.0,53.0,8.31,601.0595260809198,1.001765876801533,9522.15,9595.43
3,3,3,26.0,68.0,13.67,600.220514043665,1.0003675234061085,9418.08,9447.76
4,4,4,32.0,73.0,14.48,600.2091658459428,1.0003486097432381,9384.65,9330.39
5,5,5,29.0,64.0,12.32,595.9688028463568,0.9932813380772613,9518.84,9445.42
6,6,6,22.0,50.0,5.0,599.4798838334972,0.9991331397224953,9517.62,9525.55
7,7,7,34.0,71.0,12.69,590.2144870026913,0.9836908116711521,9247.09,9280.43
8,8,8,25.0,68.0,14.32,600.8973402475706,1.0014955670792842,9603.95,9633.6
9,9,9,28.0,74.0,15.23,596.2836322500673,0.9938060537501121,9447.39,9463.58
10,10,10,29.0,66.0,13.64,589.0067881334637,0.9816779802224396,9500.38,9426.17
11,11,11,32.0,67.0,11.13,577.0819875829545,0.9618033126382576,9310.94,9300.41
