,Total Effort List,Total Effort By Age
0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
1,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
2,"(1.0242560963020857, 377.0293197788164, 17.59054862873174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((1.0242560963020857, 377.0293197788164, 17.59054862873174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
3,"(391.25270002931717, 598.914097676207, 49.8608805573972, 22.186016101279105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((240.92387713743, 558.9216192968322, 17.59054862873174, 22.186016101279105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (150.3288228918871, 39.992478379374845, 32.270331928665456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
4,"(597.8294651298133, 598.914097676207, 473.5312292862295, 22.186016101279105, 171.24820976406156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((336.5655821067699, 558.9216192968322, 190.01441475050967, 22.186016101279105, 107.85420134828402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (261.26388302304343, 39.992478379374845, 283.5168145357199, 0.0, 63.39400841577755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
5,"(597.8294651298133, 598.914097676207, 599.5312292862295, 53.18601610127911, 596.4480443912192, 311.52185340898086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","((336.5655821067699, 558.9216192968322, 252.01441475050967, 22.186016101279105, 269.72886569885014, 200.33348851997619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0), (261.26388302304343, 39.992478379374845, 347.5168145357199, 31.0, 326.71917869236904, 111.18836488900473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0))"
6,"(597.8294651298133, 598.914097676207, 599.5312292862295, 53.18601610127911, 596.4480443912192, 586.9757017606123, 589.8870103514173, 0.0, 0.0, 0.0, 0.0, 0.0)","((336.5655821067699, 558.9216192968322, 252.01441475050967, 22.186016101279105, 269.72886569885014, 278.6401568835315, 357.398113751831, 0.0, 0.0, 0.0, 0.0, 0.0), (261.26388302304343, 39.992478379374845, 347.5168145357199, 31.0, 326.71917869236904, 308.3355448770808, 232.4888965995867, 0.0, 0.0, 0.0, 0.0, 0.0))"
7,"(597.8294651298133, 598.914097676207, 599.5312292862295, 528.8202577033737, 596.4480443912192, 597.8994889052581, 596.1145047103414, 30.33613490372281, 0.0, 0.0, 0.0, 0.0)","((336.5655821067699, 558.9216192968322, 252.01441475050967, 212.48923674927664, 269.72886569885014, 289.5639440281773, 363.6256081107551, 10.716426407202569, 0.0, 0.0, 0.0, 0.0), (261.26388302304343, 39.992478379374845, 347.5168145357199, 316.33102095409714, 326.71917869236904, 308.3355448770808, 232.4888965995867, 19.619708496520243, 0.0, 0.0, 0.0, 0.0))"
8,"(597.8294651298133, 598.914097676207, 599.5312292862295, 594.6725726813545, 596.4480443912192, 597.8994889052581, 600.3030846055583, 110.51655078846142, 599.420206382518, 0.0, 0.0, 0.0)","((336.5655821067699, 558.9216192968322, 252.01441475050967, 215.01434895863423, 269.72886569885014, 289.5639440281773, 363.6256081107551, 59.370279619279195, 244.87943697924322, 0.0, 0.0, 0.0), (261.26388302304343, 39.992478379374845, 347.5168145357199, 379.65822372272027, 326.71917869236904, 308.3355448770808, 236.67747649480356, 51.14627116918222, 354.5407694032748, 0.0, 0.0, 0.0))"
9,"(597.8294651298133, 598.914097676207, 599.5312292862295, 594.6725726813545, 596.4480443912192, 597.8994889052581, 600.3030846055583, 549.5035819902855, 599.420206382518, 183.86488679691118, 0.0, 0.0)","((336.5655821067699, 558.9216192968322, 252.01441475050967, 215.01434895863423, 269.72886569885014, 289.5639440281773, 363.6256081107551, 289.4808158815853, 244.87943697924322, 64.35843215441159, 0.0, 0.0), (261.26388302304343, 39.992478379374845, 347.5168145357199, 379.65822372272027, 326.71917869236904, 308.3355448770808, 236.67747649480356, 260.0227661087002, 354.5407694032748, 119.50645464249962, 0.0, 0.0))"
