,idea,TP,scientists_invested,times_invested,avg_k,total_effort (marginal),prop_invested,total_pr,total_ar
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,15.0,33.0,16.01,500.6555339260921,0.8344258898768202,9480.21,9533.05
2,2,0,20.0,36.0,17.13,529.5968079942322,0.8826613466570538,9705.89,9626.73
3,3,0,1.0,1.0,10.72,1.98432634496716,0.003307210574945267,32.73,30.9
4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0,1.0,1.0,14.14,2.146157460305126,0.0035769291005085437,29.65,23.49
7,7,0,1.0,1.0,22.55,5.850093959911561,0.009750156599852601,76.96,73.97
8,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,18.0,40.0,19.2,581.5393723147126,0.9692322871911877,9877.11,9828.34
11,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0,20.0,43.0,23.98,583.3542299782731,0.9722570499637885,9504.41,9463.9
13,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0,1.0,1.0,10.13,3.939120094014097,0.006565200156690162,36.85,36.15
19,19,0,1.0,1.0,7.54,2.330338850159226,0.0038838980835987098,50.61,45.28
20,20,0,1.0,1.0,14.99,1.2229202021385657,0.0020382003368976096,46.03,42.92
21,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0,1.0,1.0,12.16,2.3605092926459417,0.003934182154409903,41.46,42.4
23,23,0,1.0,1.0,27.79,3.183359417665205,0.005305599029442008,81.35,73.8
24,24,0,1.0,1.0,12.78,1.2957280579993942,0.0021595467633323236,32.56,29.52
25,25,0,1.0,1.0,12.5,1.1783745954649767,0.0019639576591082945,28.47,23.74
26,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,0,18.0,38.0,20.08,526.1226656924136,0.876871109487356,9523.43,9448.44
28,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,0,1.0,2.0,20.09,15.911439761399631,0.026519066268999386,125.07,115.62
30,30,1,1.0,1.0,7.96,6.352373108597162,0.010587288514328604,47.08,43.28
31,31,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,1,15.0,31.0,14.24,514.5782835134901,0.8576304725224835,9568.03,9614.71
34,34,1,1.0,1.0,16.8,13.496432411444307,0.022494054019073843,57.94,53.75
35,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,1,17.0,35.0,15.72,567.0870492616289,0.9451450821027148,9496.66,9490.93
38,38,1,1.0,1.0,9.47,24.56875802851419,0.040947930047523645,63.05,60.0
39,39,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,1,1.0,2.0,14.34,26.659306911390594,0.04443217818565099,60.46,55.14
41,41,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,1,1.0,1.0,10.64,1.5675651443130594,0.002612608573855099,40.56,37.94
46,46,1,1.0,2.0,20.84,19.163762631449774,0.03193960438574962,65.75,57.11
47,47,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51,1,1.0,1.0,19.77,13.169773952539568,0.021949623254232612,109.5,95.34
52,52,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
